Entity,Code,Year,National Net-Zero Target
Afghanistan,AFG,2021,Target under discussion (2050)
Andorra,AND,2021,In policy document (2050)
Angola,AGO,2021,Target under discussion (2050)
Antigua and Barbuda,ATG,2021,Target under discussion (2050)
Argentina,ARG,2021,In policy document (2050)
Armenia,ARM,2021,Target under discussion (2050)
Austria,AUT,2021,In policy document (2040)
Bahamas,BHS,2021,Target under discussion (2050)
Bangladesh,BGD,2021,Target under discussion (2050)
Barbados,BRB,2021,In policy document (2050)
Belgium,BEL,2021,Target under discussion (2050)
Belize,BLZ,2021,Target under discussion (2050)
Benin,BEN,2021,Target under discussion (2050)
Bhutan,BTN,2021,Achieved
Brazil,BRA,2021,In policy document (2050)
Bulgaria,BGR,2021,Target under discussion (2050)
Burkina Faso,BFA,2021,Target under discussion (2050)
Burundi,BDI,2021,Target under discussion (2050)
Cambodia,KHM,2021,Target under discussion (2050)
Canada,CAN,2021,In law (2050)
Cape Verde,CPV,2021,In policy document (2050)
Central African Republic,CAF,2021,Target under discussion (2050)
Chad,TCD,2021,Target under discussion (2050)
Chile,CHL,2021,Proposed legislation (2050)
China,CHN,2021,In policy document (2060)
Colombia,COL,2021,In policy document (2050)
Comoros,COM,2021,Target under discussion (2050)
Cook Islands,COK,2021,Target under discussion (2050)
Costa Rica,CRI,2021,In policy document (2050)
Croatia,HRV,2021,Target under discussion (2050)
Cyprus,CYP,2021,Target under discussion (2050)
Czechia,CZE,2021,Target under discussion (2050)
Democratic Republic of Congo,COD,2021,Target under discussion (2050)
Denmark,DNK,2021,In law (2050)
Djibouti,DJI,2021,Target under discussion (2050)
Dominica,DMA,2021,Target under discussion (2050)
Dominican Republic,DOM,2021,In policy document (2050)
Ecuador,ECU,2021,Target under discussion (2050)
Eritrea,ERI,2021,Target under discussion (2050)
Estonia,EST,2021,Target under discussion (2050)
Ethiopia,ETH,2021,Target under discussion (2050)
European Union,,2021,In law (2050)
Fiji,FJI,2021,Proposed legislation (2050)
Finland,FIN,2021,In policy document (2035)
France,FRA,2021,In law (2050)
Gambia,GMB,2021,Target under discussion (2050)
Germany,DEU,2021,In law (2045)
Greece,GRC,2021,Target under discussion (2050)
Grenada,GRD,2021,In policy document (2050)
Guinea,GIN,2021,Target under discussion (2050)
Guinea-Bissau,GNB,2021,Target under discussion (2050)
Guyana,GUY,2021,Target under discussion (2050)
Haiti,HTI,2021,Target under discussion (2050)
Hungary,HUN,2021,In law (2050)
Iceland,ISL,2021,In policy document (2040)
Indonesia,IDN,2021,In policy document (2060)
Ireland,IRL,2021,Proposed legislation (2050)
Italy,ITA,2021,In policy document (2050)
Jamaica,JAM,2021,In policy document (2050)
Japan,JPN,2021,In law (2050)
Kazakhstan,KAZ,2021,In policy document (2060)
Kiribati,KIR,2021,Target under discussion (2050)
Laos,LAO,2021,In policy document (2050)
Latvia,LVA,2021,In policy document (2050)
Lebanon,LBN,2021,Target under discussion (2050)
Lesotho,LSO,2021,Target under discussion (2050)
Liberia,LBR,2021,Target under discussion (2050)
Lithuania,LTU,2021,Target under discussion (2050)
Luxembourg,LUX,2021,In law (2050)
Madagascar,MDG,2021,Target under discussion (2050)
Malawi,MWI,2021,In policy document (2050)
Maldives,MDV,2021,In policy document (2050)
Mali,MLI,2021,Target under discussion (2050)
Malta,MLT,2021,Target under discussion (2050)
Marshall Islands,MHL,2021,In policy document (2050)
Mauritania,MRT,2021,Target under discussion (2050)
Mauritius,MUS,2021,In policy document (2050)
Mexico,MEX,2021,Target under discussion (2050)
Micronesia,,2021,Target under discussion (2050)
Monaco,MCO,2021,In policy document (2050)
Mozambique,MOZ,2021,Target under discussion (2050)
Myanmar,MMR,2021,Target under discussion (2050)
Namibia,NAM,2021,In policy document (2050)
Nauru,NRU,2021,In policy document (2050)
Nepal,NPL,2021,In policy document (2050)
Netherlands,NLD,2021,Target under discussion (2050)
New Zealand,NZL,2021,In law (2050)
Nicaragua,NIC,2021,Target under discussion (2050)
Niger,NER,2021,Target under discussion (2050)
Niue,NIU,2021,Target under discussion (2050)
Norway,NOR,2021,In policy document (2050)
Pakistan,PAK,2021,Target under discussion (2050)
Palau,PLW,2021,Target under discussion (2050)
Panama,PAN,2021,In policy document (2050)
Papua New Guinea,PNG,2021,Target under discussion (2050)
Peru,PER,2021,Target under discussion (2050)
Portugal,PRT,2021,In policy document (2050)
Romania,ROU,2021,Target under discussion (2050)
Rwanda,RWA,2021,Target under discussion (2050)
Saint Kitts and Nevis,KNA,2021,Target under discussion (2050)
Saint Lucia,LCA,2021,Target under discussion (2050)
Saint Vincent and the Grenadines,VCT,2021,Target under discussion (2050)
Samoa,WSM,2021,Target under discussion (2050)
Sao Tome and Principe,STP,2021,Target under discussion (2050)
Senegal,SEN,2021,Target under discussion (2050)
Seychelles,SYC,2021,In policy document (2050)
Sierra Leone,SLE,2021,Target under discussion (2050)
Slovakia,SVK,2021,In policy document (2050)
Slovenia,SVN,2021,In policy document (2050)
Solomon Islands,SLB,2021,In policy document (2050)
Somalia,SOM,2021,Target under discussion (2050)
South Africa,ZAF,2021,In policy document (2050)
South Korea,KOR,2021,In law (2050)
South Sudan,SSD,2021,Target under discussion (2050)
Spain,ESP,2021,In law (2050)
Sudan,SDN,2021,Target under discussion (2050)
Suriname,SUR,2021,Achieved
Sweden,SWE,2021,In law (2045)
Switzerland,CHE,2021,In policy document (2050)
Tanzania,TZA,2021,Target under discussion (2050)
Timor,TLS,2021,Target under discussion (2050)
Togo,TGO,2021,Target under discussion (2050)
Tonga,TON,2021,Target under discussion (2050)
Trinidad and Tobago,TTO,2021,Target under discussion (2050)
Tuvalu,TUV,2021,Target under discussion (2050)
Uganda,UGA,2021,Target under discussion (2050)
Ukraine,UKR,2021,In policy document (2060)
United Kingdom,GBR,2021,In law (2050)
United States,USA,2021,In policy document (2050)
Uruguay,URY,2021,In policy document (2050)
Vanuatu,VUT,2021,Target under discussion (2050)
Vatican City,,2021,In policy document (2050)
Yemen,YEM,2021,Target under discussion (2050)
Zambia,ZMB,2021,Target under discussion (2050)
